command;type;animated;words;solution;explanation;hint;file_id;path
rebus;REBÚS;False;1;David;;Un nombre de varón. Argentina supo tener un famoso tenista llamado así.;AgACAgEAAxkBAAIFnWGVfhoZwbYiWG56uzQfgBJU4tNeAALaqTEbQ5qoRAK808ev_KUJAQADAgADcwADIgQ;assets/img/rebuses/011_david.jpg
rebus;REBÚS;False;1;Desolado;;Hay un astro por ahí, incluílo en la palabra...;AgACAgEAAxkBAAIFnmGVfhqH3bz-TUaLqhSI9R2TEiKqAALbqTEbQ5qoRKlFUR-_bx66AQADAgADcwADIgQ;assets/img/rebuses/012_desolado.jpg
rebus;REBÚS;False;1;Contratapa;;Tenés que pensar en esta pelea. Posiblemente tengas que desordenar lo que se te ocurrió.;AgACAgEAAxkBAAIFn2GVfhoW0OrQh3M_o2xCu7YFGkCwAALdqTEbQ5qoRHeYXZIHAdALAQADAgADcwADIgQ;assets/img/rebuses/013_contratapa.jpg
rebus;REBÚS;False;1;Contrincante;Fijate que la <i>T</i> ladra, es un can.;Difícil. Un animal hace <i>guau</i> encerrado en una "T";AgACAgEAAxkBAAIFoGGVfhoV6Zio7TR1Hiiu8p89zCqtAALeqTEbQ5qoRAc-edPrO6RkAQADAgADcwADIgQ;assets/img/rebuses/014_contrincante.jpg
rebus;REBÚS;False;1;Laguna;;El secreto está en la cantidad;AgACAgEAAxkBAAIFoWGVfhpAfzQc5xjiVgedRVDrTqKtAALfqTEbQ5qoRE__3t_IEmxcAQADAgADcwADIgQ;assets/img/rebuses/015_laguna.jpg
rebus;REBÚS;False;1;Ordenador;;Está un poco mandona "Dor", ¿no te parece?;AgACAgEAAxkBAAIFuGGVgSbam5xMQwsWjPUaKmDXN65xAALhqTEbQ5qoRA2IGVBxGLYpAQADAgADcwADIgQ;assets/img/rebuses/016_ordenador.jpg
rebus;REBÚS;False;1;Multimedios;;Cuando se mezclan una radio, un diario y un canal de televisión (en plural);AgACAgEAAxkBAAIFuWGVgSeIT_RUVsJzwmw0kRdzeS9SAALiqTEbQ5qoRKGPUXCQpOnWAQADAgADcwADIgQ;assets/img/rebuses/017_multimedios.jpg
rebus;REBÚS;False;1;Angola;;País africano con playas en el Océano Atlántico.;AgACAgEAAxkBAAIFumGVgSoQB6E-zaElxOcHdYvg3uj4AALjqTEbQ5qoRKaj7aXohfBWAQADAgADcwADIgQ;assets/img/rebuses/018_angola.jpg
rebus;REBÚS;False;1;Armenia;;País asiático que en Argentina suele dar clases.;AgACAgEAAxkBAAIFu2GVgSussJDwSrz26uBjG4pPcA7cAALkqTEbQ5qoRAPrNnnZtCquAQADAgADcwADIgQ;assets/img/rebuses/019_armenia.jpg
rebus;REBÚS;False;1;Australia;;Pocos países son una isla. Pocas islas tienen ese tamaño.;AgACAgEAAxkBAAIFvGGVgSyQdf3GlySEoF7hgXon_qroAALlqTEbQ5qoRMtaURYcQT5VAQADAgADcwADIgQ;assets/img/rebuses/020_australia.jpg
rebus;REBÚS;False;3;Antigua y Barbuda;;Bueno, este es fácil. Esa foto es antigua y esa señora tiene...;AgACAgEAAxkBAAIFvWGVgS2lTOpboX6Pbpkeof8OTJW3AALmqTEbQ5qoRGuSVcR6ukyUAQADAgADcwADIgQ;assets/img/rebuses/022_antiguaybarbuda.jpg
rebus;REBÚS;False;1;Caracú;;Hay huesos rodeados de carne que son ricos.;AgACAgEAAxkBAAIFvmGVgS4zwkI7Kjm5RQygPDDn3F77AALnqTEbQ5qoRIQAAdb5bvNXJwEAAwIAA3MAAyIE;assets/img/rebuses/023_caracu.jpg
rebus;REBÚS;False;3;Ida y vuelta;;Modo en el que suelen venderte las aerolíneas sus pasajes.;AgACAgEAAxkBAAIFv2GVgS8gsNIcOEkjhzgdl1UeoP1NAALoqTEbQ5qoRBaQshUHyxyzAQADAgADcwADIgQ;assets/img/rebuses/024_idayvuelta.jpg
rebus;REBÚS;False;1;Nácar;El símbolo químico del sodio en <i>Na</i>, auto en inglés se escribe <i>car</i>.;Este es difícil. Necesitás saber inglés y una tabla periódica.;AgACAgEAAxkBAAIFwGGVgTBNm4VRBF9G3fvryBCnx4vwAALpqTEbQ5qoRNGbBN62itjQAQADAgADcwADIgQ;assets/img/rebuses/025_nacar.jpg
rebus;REBÚS;False;1;Felino;;¿Qué falta en la imagen?;AgACAgEAAxkBAAIFwWGVgTGU0WJNT-rtjjXDr1wBXvD9AALqqTEbQ5qoRM0D4tgMoMj9AQADAgADcwADIgQ;assets/img/rebuses/026_felino.jpg
rebus;REBÚS;False;2;Oso pardo;;Hay dos cosas iguales. Y dos cosas iguales forman un...;AgACAgEAAxkBAAIFwmGVgTIl23iUco97KPN5zYE77mKMAALrqTEbQ5qoRGEsC979eiAiAQADAgADcwADIgQ;assets/img/rebuses/027_osopardo.jpg
rebus;REBÚS;False;1;Doblegases;Los gases están dos veces...;Cada uno de los elementos de la lista está dos veces.;AgACAgEAAxkBAAIGVmGWk_82772tY9t8jXr4GLZi7fJdAAKXqTEbsiuxRBtTv-nuOJhpAQADAgADcwADIgQ;assets/img/rebuses/028_doblegases.jpg
rebus;REBÚS;False;1;Altar;;Esta letra es especial porque es muy...;AgACAgEAAxkBAAIGV2GWk__0auzGKRfukTg3rjMixmBCAAKYqTEbsiuxRHD3diU4aAf2AQADAgADcwADIgQ;assets/img/rebuses/029_altar.jpg
rebus;REBÚS;False;1;Concebido;;¿Quién está con "C"? ¿Cuántas veces?;AgACAgEAAxkBAAIGWGGWk_-f-E6rgY505_QiEcJxhJxxAAKZqTEbsiuxRAZbhsIDth6CAQADAgADcwADIgQ;assets/img/rebuses/030_concebido.jpg
rebus;REBÚS;False;2;Postres caseros;Después de la <i>res</i> hay una <i>k</i> y varios <i>ceros</i>.;Difícil. Pero algo hay después de la vaca. Y a la vaca se le dice...;AgACAgEAAxkBAAIGVWGWk_8aiNnaMs1krV2fOCb50b4rAAKWqTEbsiuxRCE2Z06D7Jh4AQADAgADcwADIgQ;assets/img/rebuses/031_postrescaseros.jpg
rebus;REBÚS;False;1;Insinuar;;Fijate bien qué le falta a "in"...;AgACAgEAAxkBAAIGVGGWk_-9z_uKUgbUU1ChAelyxefMAAKVqTEbsiuxRFyfSX5b2IWhAQADAgADcwADIgQ;assets/img/rebuses/032_insinuar.jpg
rebus;REBÚS;False;1;Endosar;;Hay dos letras que tienen algo adentro...;AgACAgEAAxkBAAIGU2GWk__rCq4MQj6jXykgQxk49iukAAKUqTEbsiuxRCGDx_SsxhtUAQADAgADcwADIgQ;assets/img/rebuses/033_endosar.jpg
rebus;PALÍNDROMO;True;2;Abra barba;;¿Qué pasa con la barba?;CgACAgEAAxkBAAIRmmGb59BqgqSJO17QqCLiiEwrYH2aAAIVAgACuqXgRFG4zsxDRk4ZIgQ;assets/img/rebuses/034_abrabarba.jpg
rebus;PALÍNDROMO;True;2;Ajo moja;;Al pobre tipo el ajo lo...;CgACAgEAAxkBAAIRm2Gb59oBBsYAATLX-67WjZiQzHY4SQACFgIAArql4ETqMSN1lfpCwCIE;assets/img/rebuses/035_ajomoja.jpg
rebus;PALÍNDROMO;True;3;Allí rama amarilla;;Mirá bien el color de la rama. ¡Y su posición!;CgACAgEAAxkBAAIRnGGb5-YF5tZe_fk9E4Z5bIZUIQSfAAIXAgACuqXgRBymyaRDpxNcIgQ;assets/img/rebuses/036_alliramaamarilla.jpg
rebus;PALÍNDROMO;True;2;Asoma famosa;;¿Quién se asoma?;CgACAgEAAxkBAAIRnWGb5_I-7ydHzXIi2xc9qb2rDh-bAAIYAgACuqXgRE7SlNnHFokOIgQ;assets/img/rebuses/037_asomafamosa.jpg
rebus;PALÍNDROMO;True;2;Atlas salta;;Cuando un libro está lleno de mapas se llama...;CgACAgEAAxkBAAIRnmGb5_oyzS1PUQziNVLtMMGH1SaGAAIZAgACuqXgRNJsslyEfhiSIgQ;assets/img/rebuses/038_atlassalta.jpg
rebus;PALÍNDROMO;True;3;No baja jabón;;Fijate que alguien se queda arriba...;CgACAgEAAxkBAAIRn2Gb6AoZac-9F_NZ3U4LXe3y1rx1AAIaAgACuqXgRI04AAEnaGpbhiIE;assets/img/rebuses/039_nobajajabon.jpg
rebus;PALÍNDROMO;True;2;Saca vacas;;¿Qué está sacando esa mano?;CgACAgEAAxkBAAIRoGGb6BH-AbH47qWEmquL6oi9KDDwAAIbAgACuqXgRCaeZuQ2yolNIgQ;assets/img/rebuses/040_sacavacas.jpg
